"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 28 16:27:23 EDT 2025","Thu Aug 28 16:27:35 EDT 2025","11960","Surefire suite","Surefire test","nn.dsalgo.tests.TreeTest","nn.dsalgo.tests.TreeTest","generateOutputForInputInTree","generateOutputForInputInTree",""
"passed","Thu Aug 28 16:27:17 EDT 2025","Thu Aug 28 16:27:22 EDT 2025","5112","Surefire suite","Surefire test","nn.dsalgo.tests.TreeTest","nn.dsalgo.tests.TreeTest","generateOutputForInputInTree","generateOutputForInputInTree",""
"passed","Thu Aug 28 16:26:48 EDT 2025","Thu Aug 28 16:26:59 EDT 2025","10785","Surefire suite","Surefire test","nn.dsalgo.tests.TreeTest","nn.dsalgo.tests.TreeTest","generateOutputForInputInTree","generateOutputForInputInTree",""
"passed","Thu Aug 28 16:25:48 EDT 2025","Thu Aug 28 16:25:59 EDT 2025","11211","Surefire suite","Surefire test","nn.dsalgo.tests.TreeTest","nn.dsalgo.tests.TreeTest","generateOutputForInputInTree","generateOutputForInputInTree",""
"passed","Thu Aug 28 16:27:11 EDT 2025","Thu Aug 28 16:27:16 EDT 2025","5119","Surefire suite","Surefire test","nn.dsalgo.tests.TreeTest","nn.dsalgo.tests.TreeTest","generateOutputForInputInTree","generateOutputForInputInTree",""
"passed","Thu Aug 28 16:26:00 EDT 2025","Thu Aug 28 16:26:05 EDT 2025","5330","Surefire suite","Surefire test","nn.dsalgo.tests.TreeTest","nn.dsalgo.tests.TreeTest","generateOutputForInputInTree","generateOutputForInputInTree",""
"passed","Thu Aug 28 16:27:36 EDT 2025","Thu Aug 28 16:27:47 EDT 2025","10922","Surefire suite","Surefire test","nn.dsalgo.tests.TreeTest","nn.dsalgo.tests.TreeTest","generateOutputForInputInTree","generateOutputForInputInTree",""
"passed","Thu Aug 28 16:26:36 EDT 2025","Thu Aug 28 16:26:41 EDT 2025","5217","Surefire suite","Surefire test","nn.dsalgo.tests.TreeTest","nn.dsalgo.tests.TreeTest","generateOutputForInputInTree","generateOutputForInputInTree",""
"passed","Thu Aug 28 16:26:06 EDT 2025","Thu Aug 28 16:26:12 EDT 2025","6054","Surefire suite","Surefire test","nn.dsalgo.tests.TreeTest","nn.dsalgo.tests.TreeTest","generateOutputForInputInTree","generateOutputForInputInTree",""
"passed","Thu Aug 28 16:27:00 EDT 2025","Thu Aug 28 16:27:10 EDT 2025","10448","Surefire suite","Surefire test","nn.dsalgo.tests.TreeTest","nn.dsalgo.tests.TreeTest","generateOutputForInputInTree","generateOutputForInputInTree",""
"passed","Thu Aug 28 16:26:42 EDT 2025","Thu Aug 28 16:26:47 EDT 2025","5476","Surefire suite","Surefire test","nn.dsalgo.tests.TreeTest","nn.dsalgo.tests.TreeTest","generateOutputForInputInTree","generateOutputForInputInTree",""
"passed","Thu Aug 28 16:26:24 EDT 2025","Thu Aug 28 16:26:35 EDT 2025","10679","Surefire suite","Surefire test","nn.dsalgo.tests.TreeTest","nn.dsalgo.tests.TreeTest","generateOutputForInputInTree","generateOutputForInputInTree",""
"passed","Thu Aug 28 16:26:13 EDT 2025","Thu Aug 28 16:26:23 EDT 2025","10208","Surefire suite","Surefire test","nn.dsalgo.tests.TreeTest","nn.dsalgo.tests.TreeTest","generateOutputForInputInTree","generateOutputForInputInTree",""
"passed","Thu Aug 28 16:25:42 EDT 2025","Thu Aug 28 16:25:47 EDT 2025","4934","Surefire suite","Surefire test","nn.dsalgo.tests.TreeTest","nn.dsalgo.tests.TreeTest","treePageLanding","treePageLanding",""
